team,week,year,pass_completion_percentage_allowed,defensive_sack_rate,interception_rate,defensive_passer_rating,opponents_passing_play_success_rate,pass_completion_percentage_allowed_relative_rank,defensive_sack_rate_relative_rank,interception_rate_relative_rank,defensive_passer_rating_relative_rank,opponents_passing_play_success_rate_relative_rank,pass_completion_percentage_allowed_competitive_rank,defensive_sack_rate_competitive_rank,interception_rate_competitive_rank,defensive_passer_rating_competitive_rank,opponents_passing_play_success_rate_competitive_rank,relative_score,competitive_score,defense_total_score,defense_total_rank
Florida Atlantic,1,2022,0.6825396825396826,0.1,0.0,411.1772486772486,0.7777777777777778,6.0,2.0,10.0,6.0,7.0,109.0,24.0,140.0,22.0,74.0,78.50519843339593,73.46805450704207,62.30527307599701,174.0
Florida Atlantic,1,2022,0.6825396825396826,0.1,0.0,411.1772486772486,0.7777777777777778,6.0,2.0,10.0,6.0,7.0,109.0,24.0,140.0,22.0,74.0,78.50519843339593,73.46805450704207,62.30527307599701,174.0
Florida International,1,2022,0.6744186046511628,0.044444444444444446,0.0,382.17054263565893,0.7209302325581395,7.0,6.0,12.0,6.0,9.0,98.0,69.0,140.0,49.0,93.0,71.85934747355942,71.05362852969017,53.73260314496085,658.0
Florida State,1,2022,0.6153846153846154,0.08771929824561403,0.0,350.5608974358974,0.8846153846153846,8.0,8.0,12.0,5.0,8.0,65.0,32.0,140.0,79.0,51.0,73.35000526776238,73.12856637950264,59.8247462795141,274.0
Florida State,1,2022,0.6153846153846154,0.08771929824561403,0.0,350.5608974358974,0.8846153846153846,8.0,8.0,12.0,5.0,8.0,65.0,32.0,140.0,79.0,51.0,73.35000526776238,73.12856637950264,59.8247462795141,274.0
Fresno State,1,2022,0.5277777777777778,0.02702702702702703,0.0,297.337962962963,0.5555555555555556,8.0,11.0,13.0,7.0,11.0,28.0,98.0,140.0,115.0,133.0,70.47372734700049,69.80856145876247,49.928627794496805,1000.0
Georgia,1,2022,0.6,0.0,0.0,323.5714285714286,0.9142857142857143,6.0,13.0,13.0,8.0,2.0,59.0,140.0,140.0,103.0,39.0,72.09243935242444,70.27601020227146,51.68866418675904,822.0
Georgia Southern,1,2022,0.4166666666666667,0.04,0.0,221.87500000000003,0.5833333333333334,1.0,5.0,11.0,11.0,11.0,9.0,74.0,140.0,134.0,130.0,70.32000000000001,70.09182164277199,50.65237458441382,926.0
Georgia State,1,2022,0.6764705882352942,0.08108108108108109,0.0,375.857843137255,0.6470588235294118,8.0,4.0,11.0,6.0,9.0,100.0,39.0,140.0,55.0,121.0,71.33142655915314,71.65467500099594,55.20736809658777,532.0
Georgia Tech,1,2022,0.6052631578947368,0.07317073170731707,0.0,349.78070175438603,0.868421052631579,8.0,5.0,12.0,5.0,7.0,60.0,46.0,140.0,80.0,53.0,73.54298002615899,72.73124257587293,58.80271548945677,318.0
Hawai'i,1,2022,0.6607142857142857,0.0,0.0,394.86607142857133,0.8214285714285714,8.0,13.0,13.0,6.0,10.0,93.0,140.0,140.0,36.0,63.0,69.14033435183455,70.61592147389652,51.72101943997666,819.0
Hawai'i,1,2022,0.6607142857142857,0.0,0.0,394.86607142857133,0.8214285714285714,8.0,13.0,13.0,6.0,10.0,93.0,140.0,140.0,36.0,63.0,69.14033435183455,70.61592147389652,51.72101943997666,819.0
Houston,1,2022,0.65,0.047619047619047616,0.0,375.0,0.725,8.0,8.0,12.0,5.0,9.0,82.0,65.0,140.0,56.0,91.0,71.98591909882232,71.31402921763234,54.478876557426105,589.0
Illinois,1,2022,0.463768115942029,0.014285714285714285,0.0,257.8502415458937,0.6811594202898551,5.0,10.0,12.0,9.0,8.0,12.0,113.0,140.0,130.0,108.0,71.96468949083828,69.94433208302243,50.74823011499669,916.0
Illinois,1,2022,0.463768115942029,0.014285714285714285,0.0,257.8502415458937,0.6811594202898551,5.0,10.0,12.0,9.0,8.0,12.0,113.0,140.0,130.0,108.0,71.96468949083828,69.94433208302243,50.74823011499669,916.0
Indiana,1,2022,0.5757575757575758,0.08333333333333333,0.0,335.6060606060606,1.1515151515151516,3.0,3.0,12.0,11.0,1.0,42.0,38.0,140.0,94.0,14.0,82.03462663818752,74.3608200351947,65.79900659063685,97.0
Iowa,1,2022,0.36,0.10714285714285714,0.0,193.66666666666666,0.36,1.0,2.0,12.0,12.0,12.0,4.0,17.0,140.0,136.0,139.0,72.40816326530611,71.18963963080316,54.268224443881394,606.0
Iowa State,1,2022,0.5135135135135135,0.0,0.0,290.7657657657657,0.6756756756756757,3.0,12.0,12.0,10.0,10.0,19.0,140.0,140.0,117.0,112.0,69.52310342766263,69.57840369221292,49.01562835874597,1092.0
James Madison,1,2022,0.5625,0.1111111111111111,0.0,306.3802083333333,0.59375,6.0,8.0,11.0,7.0,7.0,40.0,15.0,140.0,110.0,127.0,70.51957053295418,72.24315615321102,56.56218715007063,432.0
Kansas,1,2022,0.6,0.10714285714285714,0.0,330.50000000000006,0.88,4.0,2.0,12.0,9.0,10.0,59.0,17.0,140.0,100.0,52.0,73.3732192775939,73.45198186403725,60.71113242511194,237.0
Kansas State,1,2022,0.5161290322580645,0.11428571428571428,0.0,275.94086021505376,0.5161290322580645,3.0,3.0,13.0,12.0,13.0,21.0,13.0,140.0,124.0,136.0,74.49481106786865,71.91844015552986,56.880250923857034,416.0
Kent State,1,2022,0.6590909090909091,0.022222222222222223,0.0,397.06439393939394,0.9318181818181818,4.0,9.0,11.0,7.0,5.0,91.0,105.0,140.0,33.0,34.0,73.28487588646033,71.83533909122528,56.28876010877033,459.0
Kentucky,1,2022,0.71875,0.08571428571428572,0.0,383.203125,0.75,9.0,3.0,12.0,4.0,8.0,124.0,35.0,140.0,47.0,81.0,73.37220838265577,71.88968569582457,56.462913868743044,442.0
Liberty,1,2022,0.5454545454545454,0.08333333333333333,0.0,325.3787878787878,2.090909090909091,3.0,8.0,12.0,8.0,1.0,32.0,38.0,140.0,102.0,1.0,78.41351591882562,78.71273122507884,76.53795084660709,17.0
Louisiana,1,2022,0.6363636363636364,0.029411764705882353,0.0,336.7424242424242,0.5757575757575758,10.0,10.0,12.0,7.0,11.0,76.0,92.0,140.0,93.0,131.0,68.72674068207483,69.46984993379938,48.479876888432784,1161.0
Louisiana Monroe,1,2022,0.7037037037037037,0.1,0.0,414.81481481481484,0.8148148148148148,9.0,1.0,12.0,4.0,9.0,117.0,24.0,140.0,18.0,64.0,75.8101624399997,73.45121543426305,61.445281271415155,207.0
Louisiana Tech,1,2022,0.6785714285714286,0.034482758620689655,0.0,384.8214285714286,1.1785714285714286,11.0,6.0,12.0,2.0,2.0,104.0,79.0,140.0,45.0,11.0,76.72327054168622,72.80680808646055,59.968987414977704,268.0
Louisville,1,2022,0.72,0.07407407407407407,0.0,424.1666666666667,1.08,9.0,7.0,12.0,4.0,4.0,125.0,44.0,140.0,16.0,22.0,76.97877998911062,73.86259485650336,62.91688461465745,153.0
LSU,1,2022,0.6060606060606061,0.029411764705882353,0.0,356.06060606060606,1.0303030303030303,9.0,9.0,13.0,5.0,5.0,62.0,92.0,140.0,74.0,26.0,72.21775663034698,72.27619312100371,57.16505979350467,397.0
Maryland,1,2022,0.5142857142857142,0.10256410256410256,0.0,276.19047619047615,0.8285714285714286,4.0,4.0,11.0,9.0,7.0,20.0,19.0,140.0,122.0,61.0,75.75959689574452,72.9935902192768,60.185713042141316,254.0
Memphis,1,2022,0.7916666666666666,0.02040816326530612,0.0,469.6180555555555,0.8541666666666666,11.0,10.0,12.0,2.0,5.0,134.0,108.0,140.0,3.0,56.0,70.10518386305549,71.33747467202502,53.974430188996365,635.0
Miami,1,2022,0.5833333333333334,0.07692307692307693,0.0,346.52777777777777,0.9166666666666666,3.0,10.0,12.0,8.0,8.0,49.0,43.0,140.0,85.0,38.0,74.12390544561568,73.25797176271652,60.4104074773154,245.0
Miami (OH),1,2022,0.6774193548387096,0.08823529411764706,0.0,411.6935483870968,0.8387096774193549,8.0,2.0,9.0,2.0,4.0,101.0,30.0,140.0,20.0,59.0,78.54063490932413,73.46407261093967,62.30515205276012,175.0
Michigan,1,2022,0.8421052631578947,0.2692307692307692,0.0,468.640350877193,0.8947368421052632,13.0,1.0,13.0,1.0,1.0,140.0,1.0,140.0,4.0,46.0,84.0,78.27534733020241,77.03644645470212,14.0
Michigan State,1,2022,0.5833333333333334,0.16279069767441862,0.0,314.0046296296296,0.7222222222222222,4.0,2.0,12.0,10.0,11.0,49.0,6.0,140.0,108.0,92.0,71.64790781483059,74.25811860171552,62.381794199504895,168.0
Middle Tennessee,1,2022,0.6060606060606061,0.05714285714285714,0.0,398.10606060606057,0.9696969696969697,7.0,6.0,12.0,3.0,3.0,62.0,58.0,140.0,32.0,31.0,76.49233046331591,73.71214236335888,62.36083856908414,171.0
Minnesota,1,2022,0.3,0.16666666666666666,0.0,157.91666666666666,0.3,1.0,1.0,12.0,12.0,12.0,3.0,5.0,140.0,138.0,140.0,76.0,72.6730874461253,59.38688883375241,296.0
Mississippi State,1,2022,0.6333333333333333,0.03225806451612903,0.0,350.6944444444444,0.6666666666666666,7.0,10.0,12.0,6.0,11.0,72.0,87.0,140.0,77.0,115.0,70.6499584789216,70.29044780340283,51.29212773644005,863.0
Missouri,1,2022,0.6190476190476191,0.08695652173913043,0.0,367.1626984126984,0.6428571428571429,6.0,7.0,11.0,4.0,10.0,68.0,34.0,140.0,63.0,122.0,71.37229319981688,72.32972414157581,57.055185969433865,405.0
Navy,1,2022,0.6333333333333333,0.14285714285714285,0.0,364.99999999999994,0.6666666666666666,3.0,3.0,10.0,8.0,10.0,72.0,11.0,140.0,65.0,115.0,73.0359634888762,73.87713932357029,61.765254248843945,195.0
NC State,1,2022,0.6410256410256411,0.0,0.0,367.7350427350427,0.717948717948718,8.0,12.0,12.0,4.0,5.0,79.0,140.0,140.0,61.0,95.0,71.66978087496435,69.82472725065861,50.33392649290255,966.0
Nebraska,1,2022,0.68,0.013157894736842105,0.0,378.11111111111114,0.7866666666666666,10.0,10.0,12.0,6.0,10.0,106.0,115.0,140.0,52.0,69.0,70.63956430698269,70.26418489493935,51.21757816928047,873.0
Nebraska,1,2022,0.68,0.013157894736842105,0.0,378.11111111111114,0.7866666666666666,10.0,10.0,12.0,6.0,10.0,106.0,115.0,140.0,52.0,69.0,70.63956430698269,70.26418489493935,51.21757816928047,873.0
Nevada,1,2022,0.6,0.0,0.0,341.3888888888889,0.7333333333333333,8.0,12.0,12.0,7.0,8.0,59.0,140.0,140.0,89.0,90.0,65.81644837758112,69.84173990527394,48.61181500685913,1142.0
Nevada,1,2022,0.6,0.0,0.0,341.3888888888889,0.7333333333333333,8.0,12.0,12.0,7.0,8.0,59.0,140.0,140.0,89.0,90.0,65.81644837758112,69.84173990527394,48.61181500685913,1142.0
New Mexico,1,2022,0.46153846153846156,0.10344827586206896,0.0,248.55769230769226,0.5384615384615384,3.0,4.0,12.0,11.0,12.0,10.0,18.0,140.0,131.0,134.0,70.25292653712809,71.78847056060633,55.245331650131305,528.0
New Mexico State,1,2022,0.6363636363636364,0.0,0.0,342.23484848484844,1.2727272727272727,7.0,11.0,11.0,6.0,3.0,76.0,140.0,140.0,87.0,4.0,73.85021550245014,71.82457090368838,56.43027778151608,448.0
New Mexico State,1,2022,0.6363636363636364,0.0,0.0,342.23484848484844,1.2727272727272727,7.0,11.0,11.0,6.0,3.0,76.0,140.0,140.0,87.0,4.0,73.85021550245014,71.82457090368838,56.43027778151608,448.0
North Carolina,1,2022,0.717948717948718,0.04878048780487805,0.0,428.8995726495726,0.8846153846153846,11.0,4.0,13.0,3.0,6.0,123.0,64.0,140.0,14.0,51.0,77.07249479920297,72.362657555374,58.86683889938723,316.0
North Carolina,1,2022,0.717948717948718,0.04878048780487805,0.0,428.8995726495726,0.8846153846153846,11.0,4.0,13.0,3.0,6.0,123.0,64.0,140.0,14.0,51.0,77.07249479920297,72.362657555374,58.86683889938723,316.0
Northern Illinois,1,2022,0.7575757575757576,0.05714285714285714,0.0,443.93939393939394,0.7878787878787878,12.0,8.0,12.0,3.0,9.0,131.0,58.0,140.0,10.0,67.0,72.52510884003304,72.01046375469427,56.535391736412436,437.0
North Texas,1,2022,0.55,0.024390243902439025,0.0,331.8229166666667,0.7375,2.0,9.0,11.0,9.0,9.0,37.0,102.0,140.0,97.0,87.0,72.87280652931571,70.99532633320653,53.88025775239214,642.0
North Texas,1,2022,0.55,0.024390243902439025,0.0,331.8229166666667,0.7375,2.0,9.0,11.0,9.0,9.0,37.0,102.0,140.0,97.0,87.0,72.87280652931571,70.99532633320653,53.88025775239214,642.0
Northwestern,1,2022,0.6153846153846154,0.04878048780487805,0.0,351.60256410256414,0.7948717948717948,7.0,5.0,12.0,7.0,10.0,65.0,64.0,140.0,75.0,66.0,70.1122878545892,71.59251025130536,54.67002301506918,576.0
Notre Dame,1,2022,0.7058823529411765,0.02857142857142857,0.0,399.8774509803921,0.8529411764705882,9.0,11.0,12.0,3.0,5.0,119.0,95.0,140.0,29.0,57.0,70.00722507051792,71.15886904061783,53.459203414598306,676.0
Ohio,1,2022,0.5476190476190477,0.045454545454545456,0.0,347.8174603174603,0.7380952380952381,3.0,6.0,12.0,9.0,7.0,33.0,68.0,140.0,84.0,85.0,75.05052294371026,71.98876992434057,57.2393668227343,392.0
Ohio State,1,2022,0.5555555555555556,0.14285714285714285,0.0,322.22222222222223,0.7777777777777778,4.0,3.0,12.0,8.0,7.0,39.0,11.0,140.0,104.0,74.0,78.81288258232824,74.42596264856893,65.00279908123895,114.0
Oklahoma,1,2022,0.62,0.09090909090909091,0.0,334.0,0.66,7.0,3.0,12.0,9.0,10.0,69.0,29.0,140.0,95.0,117.0,73.32605624846803,71.81591995064873,56.2484002266643,461.0
Oklahoma State,1,2022,0.75,0.04,0.0,439.5833333333333,0.7083333333333334,11.0,7.0,12.0,2.0,6.0,130.0,74.0,140.0,11.0,100.0,72.8065674159669,71.14688267847944,54.27233064001439,605.0
Old Dominion,1,2022,0.65625,0.0,0.0,366.1458333333333,0.6875,6.0,12.0,12.0,9.0,12.0,87.0,140.0,140.0,64.0,104.0,67.80477114481008,69.46929163816841,48.199819672006555,1195.0
Ole Miss,1,2022,0.7391304347826086,0.08,0.0,401.72101449275357,0.717391304347826,9.0,6.0,12.0,4.0,9.0,129.0,40.0,140.0,28.0,96.0,70.1715258823854,71.71390425768115,55.017992231634594,551.0
Oregon,1,2022,0.8108108108108109,0.0,0.0,482.43243243243245,0.918918918918919,12.0,12.0,12.0,1.0,3.0,138.0,140.0,140.0,2.0,37.0,70.20659015179562,71.05536105617725,53.2379940556373,694.0
Oregon State,1,2022,0.6875,0.058823529411764705,0.0,367.4479166666667,0.8125,11.0,2.0,12.0,3.0,6.0,110.0,56.0,140.0,62.0,65.0,75.00845206099827,71.42099173654756,55.68285690401683,500.0
Penn State,1,2022,0.5084745762711864,0.03278688524590164,0.0,285.6638418079096,0.6610169491525424,5.0,8.0,11.0,7.0,6.0,18.0,82.0,140.0,120.0,116.0,69.1866272294233,70.44163780805715,51.26112451137874,867.0
Pittsburgh,1,2022,0.5789473684210527,0.07317073170731707,0.0,330.701754385965,0.6842105263157895,9.0,7.0,12.0,4.0,6.0,43.0,46.0,140.0,99.0,105.0,74.18738193407879,71.82945374525599,56.545416762655464,435.0
Purdue,1,2022,0.55,0.024390243902439025,0.0,340.4166666666667,0.7,3.0,10.0,12.0,7.0,9.0,37.0,102.0,140.0,92.0,102.0,72.7255279348077,71.00822366563025,53.8708310331362,645.0
Rice,1,2022,0.8333333333333334,0.03225806451612903,0.0,486.8055555555556,1.0333333333333334,10.0,8.0,11.0,2.0,3.0,139.0,87.0,140.0,1.0,25.0,73.18785077258018,72.34153174819335,57.63579505011785,374.0
Rutgers,1,2022,0.5945945945945946,0.0975609756097561,0.0,356.19369369369366,0.5945945945945946,5.0,3.0,11.0,5.0,11.0,53.0,25.0,140.0,73.0,126.0,74.03375510224555,72.49780771789639,58.316271293607315,341.0
San Diego State,1,2022,0.625,0.030303030303030304,0.0,387.6302083333333,0.96875,8.0,10.0,11.0,2.0,2.0,70.0,90.0,140.0,43.0,32.0,70.6137857859027,72.45900432095257,57.17754611996148,396.0
San José State,1,2022,0.65625,0.0,0.0,376.5625,0.90625,6.0,11.0,11.0,5.0,4.0,87.0,140.0,140.0,53.0,43.0,70.72287227642359,70.66512781406425,52.33291807238328,761.0
SMU,1,2022,0.5,0.030303030303030304,0.0,277.4739583333333,0.6875,6.0,11.0,12.0,8.0,12.0,17.0,90.0,140.0,121.0,104.0,69.45183173247031,70.41776886043829,51.27634617692519,865.0
South Alabama,1,2022,0.5555555555555556,0.0,0.0,294.1358024691358,0.7407407407407407,3.0,12.0,12.0,11.0,7.0,39.0,140.0,140.0,116.0,84.0,71.92281946382295,69.42599717665207,49.326218104960645,1055.0
South Carolina,1,2022,0.25,0.0,0.0,153.42261904761904,0.6785714285714286,1.0,12.0,12.0,12.0,10.0,2.0,140.0,140.0,139.0,111.0,68.23529411764706,69.92849797426877,49.578477167919175,1033.0
Southern Mississippi,1,2022,0.5483870967741935,0.06060606060606061,0.0,319.62365591397844,0.8387096774193549,3.0,10.0,12.0,10.0,7.0,34.0,55.0,140.0,105.0,59.0,73.15148400616248,72.28716795186972,57.47699196704056,381.0
South Florida,1,2022,0.8064516129032258,0.03125,0.0,459.8118279569892,1.096774193548387,9.0,7.0,11.0,3.0,5.0,136.0,88.0,140.0,6.0,21.0,73.91861605086213,72.35680900571583,57.89810806802393,358.0
Stanford,1,2022,0.5263157894736842,0.09523809523809523,0.0,276.09649122807014,1.105263157894737,3.0,4.0,12.0,12.0,3.0,26.0,28.0,140.0,123.0,18.0,74.7705768276733,73.86289264353876,62.25056690156697,177.0
Syracuse,1,2022,0.8095238095238095,0.045454545454545456,0.0,445.0396825396826,1.0,10.0,11.0,11.0,3.0,7.0,137.0,68.0,140.0,9.0,30.0,71.40899039772633,71.99893636971024,56.16685440244203,466.0
TCU,1,2022,0.6341463414634146,0.046511627906976744,0.0,349.0853658536585,0.6585365853658537,11.0,7.0,13.0,5.0,11.0,73.0,66.0,140.0,81.0,118.0,72.87936322856585,70.63394963142716,52.89964845655146,715.0
Temple,1,2022,0.8,0.03225806451612903,0.0,467.77777777777777,1.2,10.0,10.0,11.0,2.0,3.0,135.0,87.0,140.0,5.0,8.0,74.90643654055607,73.09394947551037,60.20084074335264,253.0
Tennessee,1,2022,0.6585365853658537,0.0,0.0,364.7357723577236,0.6341463414634146,6.0,12.0,12.0,6.0,12.0,90.0,140.0,140.0,66.0,123.0,66.67400754252054,69.17341432906487,47.05370496107162,1304.0
Texas,1,2022,0.7272727272727273,0.08333333333333333,0.0,396.4015151515152,1.0,11.0,3.0,11.0,2.0,1.0,127.0,38.0,140.0,34.0,30.0,78.71331496786043,73.10860751532876,61.39080459268354,209.0
Texas A&M,1,2022,0.5185185185185185,0.1,0.0,273.3024691358024,0.5925925925925926,5.0,2.0,12.0,9.0,12.0,22.0,24.0,140.0,125.0,128.0,71.4728434460366,71.75092312536297,55.51179250020397,512.0
Texas Tech,1,2022,0.391304347826087,0.14814814814814814,0.0,247.82608695652172,0.6521739130434783,1.0,2.0,12.0,12.0,10.0,7.0,8.0,140.0,132.0,119.0,76.44255319148937,74.46762889411015,64.39998251804522,126.0
Toledo,1,2022,0.5833333333333334,0.07692307692307693,0.0,303.47222222222223,0.75,10.0,6.0,12.0,6.0,6.0,49.0,43.0,140.0,112.0,81.0,72.64735918445452,71.6095984793352,55.482364835477455,516.0
Troy,1,2022,0.6785714285714286,0.0,0.0,376.0416666666667,1.0357142857142858,10.0,13.0,13.0,5.0,2.0,104.0,140.0,140.0,54.0,24.0,69.38144870710963,70.95971896065552,52.728655217693046,730.0
