season,id,name,position,team,conference,usage_overall,usage_pass,usage_rush,usage_firstDown,usage_secondDown,usage_thirdDown,usage_standardDowns,usage_passingDowns
2022,4240628,N'Kosi Perry,QB,Florida Atlantic,Conference USA,0.3839,0.7156,0.1082,0.3596,0.353,0.483,0.272,0.514
2022,4433917,Wilile Taggart Jr.,QB,Florida Atlantic,Conference USA,0.0139,0.0092,0.018,0.0063,0.009,0.027,0.02,0.019
