season,id,name,position,team,conference,usage_overall,usage_pass,usage_rush,usage_firstDown,usage_secondDown,usage_thirdDown,usage_standardDowns,usage_passingDowns
2022,4575668,Gavin Hardison,QB,UTEP,Conference USA,0.4505,0.8189,0.108,0.3846,0.398,0.617,0.348,0.594
2022,4362033,Calvin Brownholtz,QB,UTEP,Conference USA,0.0799,0.105,0.0578,0.0562,0.093,0.093,0.092,0.1
