season,id,name,position,team,conference,usage_overall,usage_pass,usage_rush,usage_firstDown,usage_secondDown,usage_thirdDown,usage_standardDowns,usage_passingDowns
2022,4426335,Graham Mertz,QB,Wisconsin,Big Ten,0.3924,0.8656,0.0607,0.2738,0.402,0.623,0.338,0.609
2022,4372559,Chase Wolf,QB,Wisconsin,Big Ten,0.0433,0.0984,0.0047,0.0185,0.06,0.073,0.03,0.091
2022,4714009,Myles Burkett,QB,Wisconsin,Big Ten,0.0081,0.0197,0.0,0.0031,0.008,0.02,0.01,0.014
2022,4565552,Deacon Hill,QB,Wisconsin,Big Ten,0.0014,0.0033,0.0,0.0,0.0,0.007,0.0,0.005
