season,id,name,position,team,conference,usage_overall,usage_pass,usage_rush,usage_firstDown,usage_secondDown,usage_thirdDown,usage_standardDowns,usage_passingDowns
2022,4360331,Miles Kendrick,QB,New Mexico,Mountain West,0.3086,0.5559,0.1352,0.2759,0.324,0.369,0.222,0.399
2022,5092306,Justin Holaday,QB,New Mexico,Mountain West,0.1543,0.2413,0.0944,0.1414,0.142,0.197,0.108,0.198
2022,4710001,CJ Montes,QB,New Mexico,Mountain West,0.1019,0.1923,0.0383,0.0483,0.12,0.159,0.082,0.177
