player,team,week,year,aqs,qpi,sei,crae,dmi,ppi,adpsr,reer,defense_score
Kurtis Rourke,Ohio,1.0,2022.0,58.50840336134454,276.4705882352941,325.0,-13.89559877321268,74.19354838709677,50.187273962564,13.157894736842104,33.33333333333333,62.30527307599701
Kurtis Rourke,Ohio,2.0,2022.0,45.43010752688171,129.03225806451616,750.0,5.54795948417694,100.0,48.038292589818866,2.564102564102564,0.0,48.32732624255269
Kurtis Rourke,Ohio,3.0,2022.0,31.989247311827956,175.80645161290323,100.0,15.824856395600245,80.95238095238095,47.35885705715065,2.564102564102565,0.0,59.2680945363073
Kurtis Rourke,Ohio,4.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurtis Rourke,Ohio,5.0,2022.0,51.388888888888886,232.63888888888889,533.3333333333333,-5.993068216371833,92.0,49.702747653735585,9.523809523809524,20.0,48.4734611456351
Kurtis Rourke,Ohio,6.0,2022.0,58.33333333333333,417.3076923076923,1333.3333333333337,-11.538461538461542,91.66666666666666,52.51625123048218,16.129032258064516,0.0,52.34081159576169
Kurtis Rourke,Ohio,7.0,2022.0,54.166666666666664,224.24242424242425,750.0,-3.7910834922656234,91.30434782608695,50.001800803362514,7.3170731707317085,9.090909090909092,47.31503189876929
Kurtis Rourke,Ohio,8.0,2022.0,65.38461538461539,207.6923076923077,2025.0,-14.72266631482302,75.0,47.83908140872532,12.5,40.0,56.16021429687083
Kurtis Rourke,Ohio,10.0,2022.0,72.32142857142857,305.35714285714283,750.0,-28.57142857142857,100.0,50.54002742928889,22.58064516129032,62.5,51.7362533620508
Kurtis Rourke,Ohio,11.0,2022.0,63.75000000000001,284.2857142857143,380.0,-28.57142857142857,85.18518518518519,49.79735366616005,10.0,25.0,49.53502537370088
Kurtis Rourke,Ohio,12.0,2022.0,53.64583333333333,284.375,450.0,-13.28926108690418,84.61538461538461,51.17515289493242,8.695652173913043,16.666666666666664,49.484294358929816
Kurtis Rourke,Ohio,13.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurtis Rourke,Ohio,14.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
