player,team,week,year,aqs,qpi,sei,crae,dmi,ppi,adpsr,reer,defense_score
Kaidon Salter,Liberty,1.0,2022.0,70.45454545454545,300.0,722.2222222222223,-36.36363636363637,100.0,47.77758847784175,0.0,25.0,57.47699196704056
Kaidon Salter,Liberty,2.0,2022.0,13.88888888888889,223.14814814814815,819.9999999999999,3.9380815778339184,66.66666666666666,46.4508246018306,8.571428571428571,33.33333333333333,56.66356812520127
Kaidon Salter,Liberty,3.0,2022.0,33.33333333333333,215.15151515151513,491.6666666666667,-31.308838938372695,53.84615384615385,47.23509961715485,2.564102564102565,50.0,70.8380177134762
Kaidon Salter,Liberty,4.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaidon Salter,Liberty,5.0,2022.0,67.64705882352942,267.6470588235294,300.0,-36.53502798720469,66.66666666666666,46.869244340012784,0.0,0.0,61.16328848862463
Kaidon Salter,Liberty,6.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaidon Salter,Liberty,7.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaidon Salter,Liberty,8.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaidon Salter,Liberty,10.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaidon Salter,Liberty,11.0,2022.0,8.333333333333332,58.333333333333336,600.0,21.30567382906466,100.0,45.651495900638224,0.0,0.0,44.1494372915314
Kaidon Salter,Liberty,12.0,2022.0,66.17647058823529,177.94117647058826,514.2857142857143,0.4421004446139576,57.14285714285714,47.38415287325907,4.0,0.0,50.634286957977054
Kaidon Salter,Liberty,13.0,2022.0,59.11764705882352,167.64705882352942,450.0,-8.380007103949838,50.0,48.96107127849855,0.0,100.0,55.46195554123554
